Country Name,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Azerbaijan,8048600.0,8111200.0,8171950.0,8234100.0,8306500.0,8391850.0,8484550.0,8581300.0,8763400.0,8947243.0,9054332.0,9173082.0,9295784.0,9416801.0,9535079.0,9651349.0
"Bahamas, The",297891.0,303138.0,309170.0,315757.0,322539.0,329243.0,335801.0,342259.0,348587.0,354780.0,360830.0,366711.0,372388.0,377841.0,383054.0,388019.0
Bahrain,666855.0,694893.0,725365.0,761595.0,807989.0,867014.0,940808.0,1026568.0,1115777.0,1196774.0,1261319.0,1306014.0,1333577.0,1349427.0,1361930.0,1377237.0
Bangladesh,131280739.0,133776064.0,136228456.0,138600174.0,140843786.0,142929979.0,144839238.0,146592687.0,148252473.0,149905836.0,151616777.0,153405612.0,155257387.0,157157394.0,159077513.0,160995642.0
Barbados,269838.0,270686.0,271479.0,272261.0,273091.0,274013.0,275040.0,276154.0,277315.0,278466.0,279566.0,280602.0,281580.0,282503.0,283380.0,284215.0
Belarus,10005000.0,9928000.0,9865000.0,9797000.0,9730000.0,9663000.0,9604000.0,9560000.0,9528000.0,9507000.0,9490000.0,9473000.0,9464000.0,9466000.0,9483000.0,9513000.0
Belgium,10251250.0,10286570.0,10332785.0,10376133.0,10421137.0,10478617.0,10547958.0,10625700.0,10709973.0,10796493.0,10895586.0,11047744.0,11128246.0,11182817.0,11231213.0,11285721.0
Belize,247312.0,254989.0,262202.0,269132.0,276085.0,283279.0,290751.0,298403.0,306165.0,313925.0,321609.0,329193.0,336707.0,344193.0,351706.0,359287.0
Benin,6949366.0,7174911.0,7414744.0,7665681.0,7922796.0,8182362.0,8443717.0,8707637.0,8973525.0,9240982.0,9509798.0,9779391.0,10049792.0,10322232.0,10598482.0,10879829.0
Bermuda,61833.0,62504.0,62912.0,63325.0,63740.0,64154.0,64523.0,64888.0,65273.0,65636.0,65124.0,64564.0,64798.0,65001.0,65139.0,65235.0
Bhutan,564187.0,580784.0,598421.0,616474.0,634235.0,651163.0,666920.0,681471.0,694990.0,707830.0,720246.0,732246.0,743711.0,754637.0,765008.0,774830.0
Bolivia,8339512.0,8496378.0,8653343.0,8810420.0,8967740.0,9125405.0,9283345.0,9441482.0,9599916.0,9758799.0,9918245.0,10078238.0,10238762.0,10399931.0,10561887.0,10724705.0
Bosnia and Herzegovina,3792878.0,3799747.0,3808347.0,3817313.0,3825872.0,3833377.0,3838504.0,3840418.0,3839749.0,3837732.0,3835258.0,3832310.0,3828419.0,3823533.0,3817554.0,3810416.0
Botswana,1736579.0,1762531.0,1786672.0,1810438.0,1835750.0,1864003.0,1895671.0,1930431.0,1967866.0,2007212.0,2047831.0,2089706.0,2132822.0,2176510.0,2219937.0,2262485.0
Brazil,175786441.0,178419396.0,181045592.0,183627339.0,186116363.0,188479240.0,190698241.0,192784521.0,194769696.0,196701298.0,198614208.0,200517584.0,202401584.0,204259377.0,206077898.0,207847528.0
Brunei Darussalam,330554.0,337074.0,343383.0,349557.0,355700.0,361889.0,368150.0,374459.0,380786.0,387080.0,393302.0,399443.0,405512.0,411499.0,417394.0,423188.0
Bulgaria,8170172.0,8020282.0,7868468.0,7823557.0,7781161.0,7739900.0,7699020.0,7545338.0,7492561.0,7444443.0,7395599.0,7348328.0,7305888.0,7265115.0,7223938.0,7177991.0
Burkina Faso,11607944.0,11943740.0,12290984.0,12651596.0,13028039.0,13421929.0,13834195.0,14264002.0,14709011.0,15165856.0,15632066.0,16106851.0,16590813.0,17084554.0,17589198.0,18105570.0
